"vaccine","activity_type","country","year","age","fvps"
"YF","routine","ABC",2004,0,1090
"YF","routine","ABC",2005,0,1919
"YF","routine","ABC",2006,0,2397
"YF","routine","ABC",2007,0,2838
"YF","routine","ABC",2008,0,2842
"YF","routine","ABC",2009,0,4008
"YF","routine","ABC",2010,0,2971
"YF","routine","ABC",2011,0,2310
"YF","routine","ABC",2012,0,1494
"YF","routine","ABC",2013,0,2996
"YF","campaign","ABC",2013,1,372
"YF","campaign","ABC",2013,2,359
"YF","campaign","ABC",2013,3,347
"YF","campaign","ABC",2013,4,336
"YF","campaign","ABC",2013,5,325
"YF","campaign","ABC",2013,6,314
"YF","campaign","ABC",2013,7,303
"YF","campaign","ABC",2013,8,293
"YF","campaign","ABC",2013,9,283
"YF","campaign","ABC",2013,10,273
"YF","campaign","ABC",2013,11,263
"YF","campaign","ABC",2013,12,254
"YF","campaign","ABC",2013,13,244
"YF","campaign","ABC",2013,14,235
"YF","campaign","ABC",2013,15,227
"YF","campaign","ABC",2013,16,219
"YF","campaign","ABC",2013,17,211
"YF","campaign","ABC",2013,18,204
"YF","campaign","ABC",2013,19,197
"YF","campaign","ABC",2013,20,191
"YF","campaign","ABC",2013,21,186
"YF","campaign","ABC",2013,22,180
"YF","campaign","ABC",2013,23,175
"YF","campaign","ABC",2013,24,171
"YF","campaign","ABC",2013,25,166
"YF","campaign","ABC",2013,26,162
"YF","campaign","ABC",2013,27,157
"YF","campaign","ABC",2013,28,153
"YF","campaign","ABC",2013,29,149
"YF","campaign","ABC",2013,30,145
"YF","campaign","ABC",2013,31,140
"YF","campaign","ABC",2013,32,136
"YF","campaign","ABC",2013,33,131
"YF","campaign","ABC",2013,34,126
"YF","campaign","ABC",2013,35,121
"YF","campaign","ABC",2013,36,117
"YF","campaign","ABC",2013,37,112
"YF","campaign","ABC",2013,38,107
"YF","campaign","ABC",2013,39,102
"YF","campaign","ABC",2013,40,98
"YF","campaign","ABC",2013,41,93
"YF","campaign","ABC",2013,42,89
"YF","campaign","ABC",2013,43,85
"YF","campaign","ABC",2013,44,81
"YF","campaign","ABC",2013,45,77
"YF","campaign","ABC",2013,46,74
"YF","campaign","ABC",2013,47,72
"YF","campaign","ABC",2013,48,69
"YF","campaign","ABC",2013,49,67
"YF","campaign","ABC",2013,50,64
"YF","campaign","ABC",2013,51,62
"YF","campaign","ABC",2013,52,59
"YF","campaign","ABC",2013,53,56
"YF","campaign","ABC",2013,54,54
"YF","campaign","ABC",2013,55,52
"YF","campaign","ABC",2013,56,49
"YF","campaign","ABC",2013,57,47
"YF","campaign","ABC",2013,58,44
"YF","campaign","ABC",2013,59,42
"YF","campaign","ABC",2013,60,40
"YF","campaign","ABC",2013,61,38
"YF","campaign","ABC",2013,62,36
"YF","campaign","ABC",2013,63,34
"YF","campaign","ABC",2013,64,33
"YF","campaign","ABC",2013,65,31
"YF","campaign","ABC",2013,66,29
"YF","campaign","ABC",2013,67,27
"YF","campaign","ABC",2013,68,25
"YF","campaign","ABC",2013,69,23
"YF","campaign","ABC",2013,70,21
"YF","campaign","ABC",2013,71,19
"YF","campaign","ABC",2013,72,17
"YF","campaign","ABC",2013,73,15
"YF","campaign","ABC",2013,74,13
"YF","campaign","ABC",2013,75,12
"YF","campaign","ABC",2013,76,10
"YF","campaign","ABC",2013,77,9
"YF","campaign","ABC",2013,78,7
"YF","campaign","ABC",2013,79,6
"YF","campaign","ABC",2013,80,5
"YF","campaign","ABC",2013,81,4
"YF","campaign","ABC",2013,82,3
"YF","campaign","ABC",2013,83,3
"YF","campaign","ABC",2013,84,2
"YF","campaign","ABC",2013,85,2
"YF","campaign","ABC",2013,86,1
"YF","campaign","ABC",2013,87,1
"YF","campaign","ABC",2013,88,1
"YF","campaign","ABC",2013,89,0
"YF","campaign","ABC",2013,90,0
"YF","campaign","ABC",2013,91,0
"YF","campaign","ABC",2013,92,0
"YF","campaign","ABC",2013,93,0
"YF","campaign","ABC",2013,94,0
"YF","campaign","ABC",2013,95,0
"YF","campaign","ABC",2013,96,0
"YF","campaign","ABC",2013,97,0
"YF","campaign","ABC",2013,98,0
"YF","campaign","ABC",2013,99,0
"YF","campaign","ABC",2013,100,0
"YF","routine","ABC",2014,0,3324
"YF","routine","ABC",2015,0,3388
"YF","routine","ABC",2016,0,3438
"YF","routine","ABC",2017,0,3549
"YF","routine","ABC",2018,0,3591
"YF","campaign","ABC",2018,1,441
"YF","campaign","ABC",2018,2,430
"YF","campaign","ABC",2018,3,422
"YF","campaign","ABC",2018,4,409
"YF","campaign","ABC",2018,5,398
"YF","campaign","ABC",2018,6,386
"YF","campaign","ABC",2018,7,374
"YF","campaign","ABC",2018,8,363
"YF","campaign","ABC",2018,9,352
"YF","campaign","ABC",2018,10,341
"YF","campaign","ABC",2018,11,330
"YF","campaign","ABC",2018,12,320
"YF","campaign","ABC",2018,13,310
"YF","campaign","ABC",2018,14,300
"YF","campaign","ABC",2018,15,290
"YF","campaign","ABC",2018,16,279
"YF","campaign","ABC",2018,17,269
"YF","campaign","ABC",2018,18,258
"YF","campaign","ABC",2018,19,248
"YF","campaign","ABC",2018,20,239
"YF","campaign","ABC",2018,21,230
"YF","campaign","ABC",2018,22,222
"YF","campaign","ABC",2018,23,214
"YF","campaign","ABC",2018,24,207
"YF","campaign","ABC",2018,25,200
"YF","campaign","ABC",2018,26,194
"YF","campaign","ABC",2018,27,189
"YF","campaign","ABC",2018,28,183
"YF","campaign","ABC",2018,29,178
"YF","campaign","ABC",2018,30,173
"YF","campaign","ABC",2018,31,169
"YF","campaign","ABC",2018,32,164
"YF","campaign","ABC",2018,33,160
"YF","campaign","ABC",2018,34,156
"YF","campaign","ABC",2018,35,151
"YF","campaign","ABC",2018,36,146
"YF","campaign","ABC",2018,37,141
"YF","campaign","ABC",2018,38,136
"YF","campaign","ABC",2018,39,131
"YF","campaign","ABC",2018,40,126
"YF","campaign","ABC",2018,41,121
"YF","campaign","ABC",2018,42,116
"YF","campaign","ABC",2018,43,111
"YF","campaign","ABC",2018,44,106
"YF","campaign","ABC",2018,45,101
"YF","campaign","ABC",2018,46,96
"YF","campaign","ABC",2018,47,92
"YF","campaign","ABC",2018,48,88
"YF","campaign","ABC",2018,49,83
"YF","campaign","ABC",2018,50,79
"YF","campaign","ABC",2018,51,76
"YF","campaign","ABC",2018,52,73
"YF","campaign","ABC",2018,53,70
"YF","campaign","ABC",2018,54,67
"YF","campaign","ABC",2018,55,65
"YF","campaign","ABC",2018,56,62
"YF","campaign","ABC",2018,57,59
"YF","campaign","ABC",2018,58,56
"YF","campaign","ABC",2018,59,53
"YF","campaign","ABC",2018,60,50
"YF","campaign","ABC",2018,61,48
