"vaccine","activity_type","country","year","age","fvps"
"YF","campaign","ABC",2018,62,45
"YF","campaign","ABC",2018,63,42
"YF","campaign","ABC",2018,64,39
"YF","campaign","ABC",2018,65,37
"YF","campaign","ABC",2018,66,34
"YF","campaign","ABC",2018,67,32
"YF","campaign","ABC",2018,68,30
"YF","campaign","ABC",2018,69,28
"YF","campaign","ABC",2018,70,26
"YF","campaign","ABC",2018,71,24
"YF","campaign","ABC",2018,72,21
"YF","campaign","ABC",2018,73,19
"YF","campaign","ABC",2018,74,17
"YF","campaign","ABC",2018,75,15
"YF","campaign","ABC",2018,76,13
"YF","campaign","ABC",2018,77,11
"YF","campaign","ABC",2018,78,9
"YF","campaign","ABC",2018,79,8
"YF","campaign","ABC",2018,80,6
"YF","campaign","ABC",2018,81,5
"YF","campaign","ABC",2018,82,4
"YF","campaign","ABC",2018,83,3
"YF","campaign","ABC",2018,84,3
"YF","campaign","ABC",2018,85,2
"YF","campaign","ABC",2018,86,1
"YF","campaign","ABC",2018,87,1
"YF","campaign","ABC",2018,88,1
"YF","campaign","ABC",2018,89,1
"YF","campaign","ABC",2018,90,0
"YF","campaign","ABC",2018,91,0
"YF","campaign","ABC",2018,92,0
"YF","campaign","ABC",2018,93,0
"YF","campaign","ABC",2018,94,0
"YF","campaign","ABC",2018,95,0
"YF","campaign","ABC",2018,96,0
"YF","campaign","ABC",2018,97,0
"YF","campaign","ABC",2018,98,0
"YF","campaign","ABC",2018,99,0
"YF","campaign","ABC",2018,100,0
"YF","routine","ABC",2019,0,3636
"YF","campaign","ABC",2019,1,645
"YF","campaign","ABC",2019,2,630
"YF","campaign","ABC",2019,3,614
"YF","campaign","ABC",2019,4,601
"YF","campaign","ABC",2019,5,585
"YF","campaign","ABC",2019,6,569
"YF","campaign","ABC",2019,7,552
"YF","campaign","ABC",2019,8,536
"YF","campaign","ABC",2019,9,520
"YF","campaign","ABC",2019,10,504
"YF","campaign","ABC",2019,11,489
"YF","campaign","ABC",2019,12,474
"YF","campaign","ABC",2019,13,459
"YF","campaign","ABC",2019,14,445
"YF","campaign","ABC",2019,15,431
"YF","campaign","ABC",2019,16,416
"YF","campaign","ABC",2019,17,401
"YF","campaign","ABC",2019,18,386
"YF","campaign","ABC",2019,19,371
"YF","campaign","ABC",2019,20,356
"YF","campaign","ABC",2019,21,342
"YF","campaign","ABC",2019,22,330
"YF","campaign","ABC",2019,23,318
"YF","campaign","ABC",2019,24,307
"YF","campaign","ABC",2019,25,296
"YF","campaign","ABC",2019,26,286
"YF","campaign","ABC",2019,27,278
"YF","campaign","ABC",2019,28,270
"YF","campaign","ABC",2019,29,262
"YF","campaign","ABC",2019,30,255
"YF","campaign","ABC",2019,31,248
"YF","campaign","ABC",2019,32,241
"YF","campaign","ABC",2019,33,235
"YF","campaign","ABC",2019,34,229
"YF","campaign","ABC",2019,35,222
"YF","campaign","ABC",2019,36,216
"YF","campaign","ABC",2019,37,209
"YF","campaign","ABC",2019,38,202
"YF","campaign","ABC",2019,39,195
"YF","campaign","ABC",2019,40,187
"YF","campaign","ABC",2019,41,180
"YF","campaign","ABC",2019,42,173
"YF","campaign","ABC",2019,43,166
"YF","campaign","ABC",2019,44,158
"YF","campaign","ABC",2019,45,151
"YF","campaign","ABC",2019,46,144
"YF","campaign","ABC",2019,47,138
"YF","campaign","ABC",2019,48,131
"YF","campaign","ABC",2019,49,125
"YF","campaign","ABC",2019,50,119
"YF","campaign","ABC",2019,51,113
"YF","campaign","ABC",2019,52,108
"YF","campaign","ABC",2019,53,104
"YF","campaign","ABC",2019,54,100
"YF","campaign","ABC",2019,55,96
"YF","campaign","ABC",2019,56,91
"YF","campaign","ABC",2019,57,87
"YF","campaign","ABC",2019,58,83
"YF","campaign","ABC",2019,59,79
"YF","campaign","ABC",2019,60,75
"YF","campaign","ABC",2019,61,71
"YF","campaign","ABC",2019,62,67
"YF","campaign","ABC",2019,63,63
"YF","campaign","ABC",2019,64,59
"YF","campaign","ABC",2019,65,55
"YF","campaign","ABC",2019,66,51
"YF","campaign","ABC",2019,67,47
"YF","campaign","ABC",2019,68,44
"YF","campaign","ABC",2019,69,41
"YF","campaign","ABC",2019,70,38
"YF","campaign","ABC",2019,71,35
"YF","campaign","ABC",2019,72,32
"YF","campaign","ABC",2019,73,28
"YF","campaign","ABC",2019,74,25
"YF","campaign","ABC",2019,75,22
"YF","campaign","ABC",2019,76,19
"YF","campaign","ABC",2019,77,17
"YF","campaign","ABC",2019,78,14
"YF","campaign","ABC",2019,79,12
"YF","campaign","ABC",2019,80,9
"YF","campaign","ABC",2019,81,8
"YF","campaign","ABC",2019,82,6
"YF","campaign","ABC",2019,83,5
"YF","campaign","ABC",2019,84,4
"YF","campaign","ABC",2019,85,3
"YF","campaign","ABC",2019,86,2
"YF","campaign","ABC",2019,87,1
"YF","campaign","ABC",2019,88,1
"YF","campaign","ABC",2019,89,1
"YF","campaign","ABC",2019,90,0
"YF","campaign","ABC",2019,91,0
"YF","campaign","ABC",2019,92,0
"YF","campaign","ABC",2019,93,0
"YF","campaign","ABC",2019,94,0
"YF","campaign","ABC",2019,95,0
"YF","campaign","ABC",2019,96,0
"YF","campaign","ABC",2019,97,0
"YF","campaign","ABC",2019,98,0
"YF","campaign","ABC",2019,99,0
"YF","campaign","ABC",2019,100,0
"YF","routine","ABC",2020,0,3688
"YF","campaign","ABC",2020,1,638
"YF","campaign","ABC",2020,2,624
"YF","campaign","ABC",2020,3,610
"YF","campaign","ABC",2020,4,595
"YF","campaign","ABC",2020,5,580
"YF","campaign","ABC",2020,6,565
"YF","campaign","ABC",2020,7,550
"YF","campaign","ABC",2020,8,535
"YF","campaign","ABC",2020,9,520
"YF","campaign","ABC",2020,10,504
"YF","campaign","ABC",2020,11,489
"YF","campaign","ABC",2020,12,474
"YF","campaign","ABC",2020,13,460
"YF","campaign","ABC",2020,14,446
"YF","campaign","ABC",2020,15,432
"YF","campaign","ABC",2020,16,418
"YF","campaign","ABC",2020,17,404
"YF","campaign","ABC",2020,18,389
"YF","campaign","ABC",2020,19,374
"YF","campaign","ABC",2020,20,359
"YF","campaign","ABC",2020,21,345
"YF","campaign","ABC",2020,22,331
"YF","campaign","ABC",2020,23,319
"YF","campaign","ABC",2020,24,308
"YF","campaign","ABC",2020,25,297
"YF","campaign","ABC",2020,26,287
"YF","campaign","ABC",2020,27,277
"YF","campaign","ABC",2020,28,269
"YF","campaign","ABC",2020,29,261
"YF","campaign","ABC",2020,30,254
"YF","campaign","ABC",2020,31,247
"YF","campaign","ABC",2020,32,240
"YF","campaign","ABC",2020,33,233
"YF","campaign","ABC",2020,34,227
"YF","campaign","ABC",2020,35,221
"YF","campaign","ABC",2020,36,215
"YF","campaign","ABC",2020,37,209
"YF","campaign","ABC",2020,38,202
"YF","campaign","ABC",2020,39,195
"YF","campaign","ABC",2020,40,188
"YF","campaign","ABC",2020,41,181
"YF","campaign","ABC",2020,42,174
"YF","campaign","ABC",2020,43,167
"YF","campaign","ABC",2020,44,160
"YF","campaign","ABC",2020,45,153
"YF","campaign","ABC",2020,46,146
"YF","campaign","ABC",2020,47,139
"YF","campaign","ABC",2020,48,133
"YF","campaign","ABC",2020,49,126
"YF","campaign","ABC",2020,50,120
"YF","campaign","ABC",2020,51,114
"YF","campaign","ABC",2020,52,109
"YF","campaign","ABC",2020,53,104
"YF","campaign","ABC",2020,54,100
"YF","campaign","ABC",2020,55,96
"YF","campaign","ABC",2020,56,92
"YF","campaign","ABC",2020,57,88
"YF","campaign","ABC",2020,58,84
"YF","campaign","ABC",2020,59,79
"YF","campaign","ABC",2020,60,75
"YF","campaign","ABC",2020,61,71
"YF","campaign","ABC",2020,62,67
"YF","campaign","ABC",2020,63,63
"YF","campaign","ABC",2020,64,59
"YF","campaign","ABC",2020,65,55
"YF","campaign","ABC",2020,66,51
"YF","campaign","ABC",2020,67,48
"YF","campaign","ABC",2020,68,44
"YF","campaign","ABC",2020,69,41
"YF","campaign","ABC",2020,70,38
"YF","campaign","ABC",2020,71,35
"YF","campaign","ABC",2020,72,32
"YF","campaign","ABC",2020,73,29
"YF","campaign","ABC",2020,74,25
"YF","campaign","ABC",2020,75,22
"YF","campaign","ABC",2020,76,19
"YF","campaign","ABC",2020,77,16
"YF","campaign","ABC",2020,78,14
"YF","campaign","ABC",2020,79,12
"YF","campaign","ABC",2020,80,10
"YF","campaign","ABC",2020,81,7
"YF","campaign","ABC",2020,82,6
"YF","campaign","ABC",2020,83,4
"YF","campaign","ABC",2020,84,3
"YF","campaign","ABC",2020,85,3
"YF","campaign","ABC",2020,86,2
"YF","campaign","ABC",2020,87,1
"YF","campaign","ABC",2020,88,1
"YF","campaign","ABC",2020,89,1
"YF","campaign","ABC",2020,90,0
"YF","campaign","ABC",2020,91,0
"YF","campaign","ABC",2020,92,0
"YF","campaign","ABC",2020,93,0
"YF","campaign","ABC",2020,94,0
"YF","campaign","ABC",2020,95,0
"YF","campaign","ABC",2020,96,0
"YF","campaign","ABC",2020,97,0
"YF","campaign","ABC",2020,98,0
"YF","campaign","ABC",2020,99,0
"YF","campaign","ABC",2020,100,0
"YF","routine","ABC",2021,0,3747
"YF","campaign","ABC",2021,1,862
"YF","campaign","ABC",2021,2,843
"YF","campaign","ABC",2021,3,825
"YF","campaign","ABC",2021,4,806
"YF","campaign","ABC",2021,5,787
"YF","campaign","ABC",2021,6,768
"YF","campaign","ABC",2021,7,748
"YF","campaign","ABC",2021,8,729
"YF","campaign","ABC",2021,9,709
"YF","campaign","ABC",2021,10,689
"YF","campaign","ABC",2021,11,669
"YF","campaign","ABC",2021,12,648
"YF","campaign","ABC",2021,13,628
"YF","campaign","ABC",2021,14,609
"YF","campaign","ABC",2021,15,590
"YF","campaign","ABC",2021,16,572
"YF","campaign","ABC",2021,17,553
"YF","campaign","ABC",2021,18,534
"YF","campaign","ABC",2021,19,515
"YF","campaign","ABC",2021,20,495
"YF","campaign","ABC",2021,21,475
"YF","campaign","ABC",2021,22,456
"YF","campaign","ABC",2021,23,438
"YF","campaign","ABC",2021,24,422
"YF","campaign","ABC",2021,25,407
"YF","campaign","ABC",2021,26,393
"YF","campaign","ABC",2021,27,379
"YF","campaign","ABC",2021,28,366
"YF","campaign","ABC",2021,29,355
"YF","campaign","ABC",2021,30,345
"YF","campaign","ABC",2021,31,335
"YF","campaign","ABC",2021,32,326
"YF","campaign","ABC",2021,33,317
"YF","campaign","ABC",2021,34,308
"YF","campaign","ABC",2021,35,300
"YF","campaign","ABC",2021,36,292
"YF","campaign","ABC",2021,37,284
"YF","campaign","ABC",2021,38,276
"YF","campaign","ABC",2021,39,267
"YF","campaign","ABC",2021,40,257
"YF","campaign","ABC",2021,41,248
"YF","campaign","ABC",2021,42,239
"YF","campaign","ABC",2021,43,230
"YF","campaign","ABC",2021,44,220
"YF","campaign","ABC",2021,45,211
"YF","campaign","ABC",2021,46,201
"YF","campaign","ABC",2021,47,192
"YF","campaign","ABC",2021,48,183
"YF","campaign","ABC",2021,49,175
"YF","campaign","ABC",2021,50,166
"YF","campaign","ABC",2021,51,158
"YF","campaign","ABC",2021,52,150
"YF","campaign","ABC",2021,53,143
"YF","campaign","ABC",2021,54,136
"YF","campaign","ABC",2021,55,130
"YF","campaign","ABC",2021,56,125
"YF","campaign","ABC",2021,57,119
"YF","campaign","ABC",2021,58,114
"YF","campaign","ABC",2021,59,109
"YF","campaign","ABC",2021,60,103
"YF","campaign","ABC",2021,61,97
"YF","campaign","ABC",2021,62,92
"YF","campaign","ABC",2021,63,87
"YF","campaign","ABC",2021,64,81
"YF","campaign","ABC",2021,65,76
"YF","campaign","ABC",2021,66,70
"YF","campaign","ABC",2021,67,65
"YF","campaign","ABC",2021,68,60
"YF","campaign","ABC",2021,69,56
"YF","campaign","ABC",2021,70,51
"YF","campaign","ABC",2021,71,47
"YF","campaign","ABC",2021,72,43
"YF","campaign","ABC",2021,73,39
"YF","campaign","ABC",2021,74,35
"YF","campaign","ABC",2021,75,31
"YF","campaign","ABC",2021,76,27
"YF","campaign","ABC",2021,77,23
"YF","campaign","ABC",2021,78,19
"YF","campaign","ABC",2021,79,16
"YF","campaign","ABC",2021,80,14
"YF","campaign","ABC",2021,81,11
"YF","campaign","ABC",2021,82,9
"YF","campaign","ABC",2021,83,7
"YF","campaign","ABC",2021,84,5
"YF","campaign","ABC",2021,85,4
"YF","campaign","ABC",2021,86,3
"YF","campaign","ABC",2021,87,2
"YF","campaign","ABC",2021,88,1
"YF","campaign","ABC",2021,89,1
"YF","campaign","ABC",2021,90,1
"YF","campaign","ABC",2021,91,0
"YF","campaign","ABC",2021,92,0
"YF","campaign","ABC",2021,93,0
"YF","campaign","ABC",2021,94,0
"YF","campaign","ABC",2021,95,0
"YF","campaign","ABC",2021,96,0
"YF","campaign","ABC",2021,97,0
"YF","campaign","ABC",2021,98,0
"YF","campaign","ABC",2021,99,0
"YF","campaign","ABC",2021,100,0
"YF","routine","ABC",2022,0,3813
"YF","campaign","ABC",2022,1,855
"YF","campaign","ABC",2022,2,834
"YF","campaign","ABC",2022,3,816
"YF","campaign","ABC",2022,4,798
"YF","campaign","ABC",2022,5,780
"YF","campaign","ABC",2022,6,762
"YF","campaign","ABC",2022,7,744
"YF","campaign","ABC",2022,8,726
"YF","campaign","ABC",2022,9,708
"YF","campaign","ABC",2022,10,689
"YF","campaign","ABC",2022,11,669
"YF","campaign","ABC",2022,12,649
"YF","campaign","ABC",2022,13,630
"YF","campaign","ABC",2022,14,610
"YF","campaign","ABC",2022,15,591
"YF","campaign","ABC",2022,16,573
"YF","campaign","ABC",2022,17,555
"YF","campaign","ABC",2022,18,536
"YF","campaign","ABC",2022,19,518
"YF","campaign","ABC",2022,20,499
"YF","campaign","ABC",2022,21,479
"YF","campaign","ABC",2022,22,460
"YF","campaign","ABC",2022,23,442
"YF","campaign","ABC",2022,24,424
"YF","campaign","ABC",2022,25,409
"YF","campaign","ABC",2022,26,394
"YF","campaign","ABC",2022,27,380
"YF","campaign","ABC",2022,28,367
"YF","campaign","ABC",2022,29,354
"YF","campaign","ABC",2022,30,344
"YF","campaign","ABC",2022,31,334
"YF","campaign","ABC",2022,32,324
"YF","campaign","ABC",2022,33,315
"YF","campaign","ABC",2022,34,307
"YF","campaign","ABC",2022,35,298
"YF","campaign","ABC",2022,36,290
"YF","campaign","ABC",2022,37,282
"YF","campaign","ABC",2022,38,275
"YF","campaign","ABC",2022,39,267
"YF","campaign","ABC",2022,40,258
"YF","campaign","ABC",2022,41,249
"YF","campaign","ABC",2022,42,240
"YF","campaign","ABC",2022,43,231
"YF","campaign","ABC",2022,44,222
"YF","campaign","ABC",2022,45,213
"YF","campaign","ABC",2022,46,203
"YF","campaign","ABC",2022,47,194
"YF","campaign","ABC",2022,48,185
"YF","campaign","ABC",2022,49,177
"YF","campaign","ABC",2022,50,168
"YF","campaign","ABC",2022,51,160
"YF","campaign","ABC",2022,52,152
"YF","campaign","ABC",2022,53,144
"YF","campaign","ABC",2022,54,137
"YF","campaign","ABC",2022,55,131
"YF","campaign","ABC",2022,56,125
"YF","campaign","ABC",2022,57,119
"YF","campaign","ABC",2022,58,114
"YF","campaign","ABC",2022,59,109
"YF","campaign","ABC",2022,60,103
"YF","campaign","ABC",2022,61,98
"YF","campaign","ABC",2022,62,92
"YF","campaign","ABC",2022,63,87
"YF","campaign","ABC",2022,64,82
"YF","campaign","ABC",2022,65,76
"YF","campaign","ABC",2022,66,71
"YF","campaign","ABC",2022,67,66
"YF","campaign","ABC",2022,68,60
"YF","campaign","ABC",2022,69,55
"YF","campaign","ABC",2022,70,51
"YF","campaign","ABC",2022,71,47
"YF","campaign","ABC",2022,72,43
"YF","campaign","ABC",2022,73,39
"YF","campaign","ABC",2022,74,35
"YF","campaign","ABC",2022,75,31
"YF","campaign","ABC",2022,76,27
"YF","campaign","ABC",2022,77,23
"YF","campaign","ABC",2022,78,20
"YF","campaign","ABC",2022,79,16
"YF","campaign","ABC",2022,80,14
"YF","campaign","ABC",2022,81,11
"YF","campaign","ABC",2022,82,9
"YF","campaign","ABC",2022,83,7
"YF","campaign","ABC",2022,84,5
"YF","campaign","ABC",2022,85,4
"YF","campaign","ABC",2022,86,3
"YF","campaign","ABC",2022,87,2
"YF","campaign","ABC",2022,88,2
"YF","campaign","ABC",2022,89,1
"YF","campaign","ABC",2022,90,1
"YF","campaign","ABC",2022,91,0
"YF","campaign","ABC",2022,92,0
"YF","campaign","ABC",2022,93,0
"YF","campaign","ABC",2022,94,0
"YF","campaign","ABC",2022,95,0
"YF","campaign","ABC",2022,96,0
"YF","campaign","ABC",2022,97,0
"YF","campaign","ABC",2022,98,0
"YF","campaign","ABC",2022,99,0
"YF","campaign","ABC",2022,100,0
"YF","routine","ABC",2023,0,3885
"YF","campaign","ABC",2023,1,848
"YF","campaign","ABC",2023,2,828
"YF","campaign","ABC",2023,3,807
"YF","campaign","ABC",2023,4,790
"YF","campaign","ABC",2023,5,773
"YF","campaign","ABC",2023,6,755
"YF","campaign","ABC",2023,7,738
"YF","campaign","ABC",2023,8,722
"YF","campaign","ABC",2023,9,705
"YF","campaign","ABC",2023,10,688
"YF","campaign","ABC",2023,11,669
"YF","campaign","ABC",2023,12,650
"YF","campaign","ABC",2023,13,631
"YF","campaign","ABC",2023,14,612
"YF","campaign","ABC",2023,15,593
"YF","campaign","ABC",2023,16,574
"YF","campaign","ABC",2023,17,556
"YF","campaign","ABC",2023,18,538
"YF","campaign","ABC",2023,19,520
"YF","campaign","ABC",2023,20,502
"YF","campaign","ABC",2023,21,483
"YF","campaign","ABC",2023,22,465
"YF","campaign","ABC",2023,23,446
"YF","campaign","ABC",2023,24,428
"YF","campaign","ABC",2023,25,411
"YF","campaign","ABC",2023,26,396
"YF","campaign","ABC",2023,27,382
"YF","campaign","ABC",2023,28,368
"YF","campaign","ABC",2023,29,355
"YF","campaign","ABC",2023,30,343
"YF","campaign","ABC",2023,31,333
"YF","campaign","ABC",2023,32,323
"YF","campaign","ABC",2023,33,314
"YF","campaign","ABC",2023,34,305
"YF","campaign","ABC",2023,35,297
"YF","campaign","ABC",2023,36,289
"YF","campaign","ABC",2023,37,281
"YF","campaign","ABC",2023,38,273
"YF","campaign","ABC",2023,39,266
"YF","campaign","ABC",2023,40,258
"YF","campaign","ABC",2023,41,250
"YF","campaign","ABC",2023,42,241
"YF","campaign","ABC",2023,43,232
"YF","campaign","ABC",2023,44,223
"YF","campaign","ABC",2023,45,214
"YF","campaign","ABC",2023,46,205
"YF","campaign","ABC",2023,47,196
"YF","campaign","ABC",2023,48,188
"YF","campaign","ABC",2023,49,179
"YF","campaign","ABC",2023,50,170
"YF","campaign","ABC",2023,51,162
"YF","campaign","ABC",2023,52,154
"YF","campaign","ABC",2023,53,146
"YF","campaign","ABC",2023,54,138
"YF","campaign","ABC",2023,55,131
"YF","campaign","ABC",2023,56,125
"YF","campaign","ABC",2023,57,120
"YF","campaign","ABC",2023,58,114
"YF","campaign","ABC",2023,59,109
"YF","campaign","ABC",2023,60,104
"YF","campaign","ABC",2023,61,98
"YF","campaign","ABC",2023,62,93
"YF","campaign","ABC",2023,63,87
"YF","campaign","ABC",2023,64,82
"YF","campaign","ABC",2023,65,77
"YF","campaign","ABC",2023,66,71
"YF","campaign","ABC",2023,67,66
"YF","campaign","ABC",2023,68,61
"YF","campaign","ABC",2023,69,56
"YF","campaign","ABC",2023,70,51
"YF","campaign","ABC",2023,71,47
"YF","campaign","ABC",2023,72,42
"YF","campaign","ABC",2023,73,38
"YF","campaign","ABC",2023,74,34
"YF","campaign","ABC",2023,75,31
"YF","campaign","ABC",2023,76,27
"YF","campaign","ABC",2023,77,23
"YF","campaign","ABC",2023,78,20
"YF","campaign","ABC",2023,79,17
"YF","campaign","ABC",2023,80,14
"YF","campaign","ABC",2023,81,11
"YF","campaign","ABC",2023,82,9
"YF","campaign","ABC",2023,83,7
"YF","campaign","ABC",2023,84,5
"YF","campaign","ABC",2023,85,4
"YF","campaign","ABC",2023,86,3
"YF","campaign","ABC",2023,87,2
"YF","campaign","ABC",2023,88,2
"YF","campaign","ABC",2023,89,1
"YF","campaign","ABC",2023,90,1
"YF","campaign","ABC",2023,91,1
"YF","campaign","ABC",2023,92,0
"YF","campaign","ABC",2023,93,0
"YF","campaign","ABC",2023,94,0
"YF","campaign","ABC",2023,95,0
"YF","campaign","ABC",2023,96,0
"YF","campaign","ABC",2023,97,0
"YF","campaign","ABC",2023,98,0
"YF","campaign","ABC",2023,99,0
"YF","campaign","ABC",2023,100,0
"YF","routine","ABC",2024,0,3959
"YF","campaign","ABC",2024,1,898
"YF","campaign","ABC",2024,2,876
"YF","campaign","ABC",2024,3,854
"YF","campaign","ABC",2024,4,834
"YF","campaign","ABC",2024,5,816
"YF","campaign","ABC",2024,6,798
"YF","campaign","ABC",2024,7,781
"YF","campaign","ABC",2024,8,764
"YF","campaign","ABC",2024,9,747
"YF","campaign","ABC",2024,10,730
"YF","campaign","ABC",2024,11,713
"YF","campaign","ABC",2024,12,694
"YF","campaign","ABC",2024,13,674
